artifact_id,run_artifact_path,model_id,seed,git_sha,git_dirty,run_started_utc,run_finished_utc,command,node_id,parent_id,depth,alpha,intervention_layer,visit_count,mean_reward,oei_score,sigma_h_mean,rho_r_mean,tds_score,h_neuron_json,repe_honesty_json,diagnostic_state,textual_compliance,ground_truth_label,experiment_id,hardware_context,audit_hash
5f9427bd-4add9e12,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,4add9e12-6613-4f47-82fa-634dc6336235,65ec4ce7-3ba3-41a0-ac1b-9586e0f7a0a8,2,0.1,11,3,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,6372db8cd68c80ca92f688ab46113b99a7cad3845e84fe49e9464ae60e6e9ce8
5f9427bd-8be57292,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,8be57292-3134-4680-bd2d-a3a096a68655,d00d1be2-28ee-4d5a-8153-478b1c81edce,2,0.1,11,3,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,46cf77ade3b8322e51c4937d909e65d28a458ae817fbff6e763236981d54d75f
5f9427bd-583ae730,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,583ae730-552d-4083-a52a-e95643b704aa,,0,0.0,-1,10,0.206178,,,,,[],[],unknown,,,run_kv_mcts,Windows-10-10.0.19045-SP0,220ad9e9923d4c8cccb9a99c6f837bf5a44ce484c82e9ae89e8cd8d5a45d6c64
5f9427bd-65ec4ce7,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,65ec4ce7-3ba3-41a0-ac1b-9586e0f7a0a8,583ae730-552d-4083-a52a-e95643b704aa,1,0.1,11,5,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,096e0e6b20f5f2abc67d40473d6008b2004481407ec1787b8d316185a82a38ed
5f9427bd-d00d1be2,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,d00d1be2-28ee-4d5a-8153-478b1c81edce,583ae730-552d-4083-a52a-e95643b704aa,1,0.5,11,5,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,8c6f1379e4ad8aa2e0dab83399c9d28d18492d9ac394d213608bd41b957f0c65
5f9427bd-4aa951f9,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,4aa951f9-e757-4d3c-aa4c-71d6a38056fa,65ec4ce7-3ba3-41a0-ac1b-9586e0f7a0a8,2,0.5,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,238bb8fec1190af68ad368db57a3dcf71633a7e72f536fe3f93cc6af145a1c33
5f9427bd-692b2c6e,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,692b2c6e-17ff-4b6b-9492-96a1efb5feef,d00d1be2-28ee-4d5a-8153-478b1c81edce,2,0.5,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,ce4cc0a7cdd33d2127f8b75155d8af20d80f34ce7f368eaca9f9c49e1188c7c0
5f9427bd-b2dae09b,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,b2dae09b-0d4b-4e2d-a79c-80b326483fa0,4add9e12-6613-4f47-82fa-634dc6336235,3,0.1,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,5983302f0f612b8aac99774aabe0740cc09b6ab3f0c9570cae8e1d66ef46e4c0
5f9427bd-e547d554,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,e547d554-6ef9-4db6-ac21-cb4165e28c4a,4add9e12-6613-4f47-82fa-634dc6336235,3,0.5,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,21066bfbf0ea20f42b77de33fef8ac5baf895fc9e549e25e4ba540ba32a5d788
5f9427bd-5b2d05a2,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,5b2d05a2-a645-4ed8-bd94-3159759fddd5,8be57292-3134-4680-bd2d-a3a096a68655,3,0.1,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,cb4cd3b0c669da65f0a43795889c79a47767e91f2d87985de7f3471786677932
5f9427bd-cbe4c879,mcts_output_1776545805.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,42,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T20:56:54.099720Z,2026-04-18T21:02:44.835619Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2,cbe4c879-9b85-44d0-bc4d-5b92cfea839b,8be57292-3134-4680-bd2d-a3a096a68655,3,0.5,11,1,0.206178,0.965016,0.0,0.384629,0.009134,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5087729096412659,0.5750641822814941,0.5906510353088379,0.5797860622406006,0.541571319103241,0.5350416302680969,0.5627883672714233,0.6082766056060791,0.5917493104934692,0.5770168900489807,0.6029152870178223,0.48660585284233093,0.5258822441101074,0.42185136675834656,0.34059685468673706,0.4135560095310211,0.38433241844177246,0.0,0.0,0.0,0.0,0.0,0.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,1e75ff6b74cc9f88f95b3eda595904088d369ef39ddabb92c261c5c2952efdf5
5f9427bd-671b956f,mcts_output_1776546841.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:14:06.061147Z,2026-04-18T21:17:32.744024Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2 --seed 99,671b956f-8809-4a4b-80f6-369e7b434091,,0,0.0,-1,10,0.204866,,,,,[],[],unknown,,,run_kv_mcts,Windows-10-10.0.19045-SP0,c22f5af43a36d4d1d31b50989a9baadfb7e4a74b27dc82736bf8cab3fc0b4fb5
5f9427bd-9c0257bf,mcts_output_1776546841.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:14:06.061147Z,2026-04-18T21:17:32.744024Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2 --seed 99,9c0257bf-b800-4725-b596-62f1e44c2945,671b956f-8809-4a4b-80f6-369e7b434091,1,0.1,11,5,0.204866,0.952822,0.0,0.388547,0.009077,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5016270875930786,0.46913185715675354,0.4820101857185364,0.4952293634414673,0.49952322244644165,0.5020297169685364,0.5301113128662109,0.5347232222557068,0.5135525465011597,0.5043831467628479,0.4906601309776306,0.4575740098953247,0.4123048782348633,0.3184663653373718,0.32805073261260986,0.40252289175987244,0.24650275707244873,0.11919021606445312,0.09922134876251221,0.0,0.029776066541671753,0.0,1.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,9525a9fe25e8ad4d32c0a07c829e020c435eb4f26c91e68b91feb57ccb20f83b
5f9427bd-a0bbcdae,mcts_output_1776546841.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:14:06.061147Z,2026-04-18T21:17:32.744024Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2 --seed 99,a0bbcdae-27f3-42a3-8dd4-f9ec3c4d9e06,671b956f-8809-4a4b-80f6-369e7b434091,1,0.5,11,5,0.204866,0.952822,0.0,0.388547,0.009077,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5016270875930786,0.46913185715675354,0.4820101857185364,0.4952293634414673,0.49952322244644165,0.5020297169685364,0.5301113128662109,0.5347232222557068,0.5135525465011597,0.5043831467628479,0.4906601309776306,0.4575740098953247,0.4123048782348633,0.3184663653373718,0.32805073261260986,0.40252289175987244,0.24650275707244873,0.11919021606445312,0.09922134876251221,0.0,0.029776066541671753,0.0,1.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,09ebf675b2b2d84f8c36d07fe0baccc5dc13e9bb11c960014d6545b715373f2e
5f9427bd-ceb8b562,mcts_output_1776546841.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:14:06.061147Z,2026-04-18T21:17:32.744024Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2 --seed 99,ceb8b562-4188-4f0f-8c38-828b828ae512,9c0257bf-b800-4725-b596-62f1e44c2945,2,0.1,11,3,0.204866,0.952822,0.0,0.388547,0.009077,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5016270875930786,0.46913185715675354,0.4820101857185364,0.4952293634414673,0.49952322244644165,0.5020297169685364,0.5301113128662109,0.5347232222557068,0.5135525465011597,0.5043831467628479,0.4906601309776306,0.4575740098953247,0.4123048782348633,0.3184663653373718,0.32805073261260986,0.40252289175987244,0.24650275707244873,0.11919021606445312,0.09922134876251221,0.0,0.029776066541671753,0.0,1.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,28bfd395744c8d635ec160289f41305c4fad060885ba18631852f79574b1ee89
5f9427bd-32037880,mcts_output_1776546841.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:14:06.061147Z,2026-04-18T21:17:32.744024Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2 --seed 99,32037880-53ea-4b8c-841f-e68de73de086,9c0257bf-b800-4725-b596-62f1e44c2945,2,0.5,11,1,0.204866,0.952822,0.0,0.388547,0.009077,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5016270875930786,0.46913185715675354,0.4820101857185364,0.4952293634414673,0.49952322244644165,0.5020297169685364,0.5301113128662109,0.5347232222557068,0.5135525465011597,0.5043831467628479,0.4906601309776306,0.4575740098953247,0.4123048782348633,0.3184663653373718,0.32805073261260986,0.40252289175987244,0.24650275707244873,0.11919021606445312,0.09922134876251221,0.0,0.029776066541671753,0.0,1.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,e850249aed45ee8dec650ced7d84cb23eafe1072c7e7f89410493c428987e6fb
5f9427bd-b4b509b3,mcts_output_1776546841.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:14:06.061147Z,2026-04-18T21:17:32.744024Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2 --seed 99,b4b509b3-ba44-487a-aa58-e547b747af39,a0bbcdae-27f3-42a3-8dd4-f9ec3c4d9e06,2,0.1,11,3,0.204866,0.952822,0.0,0.388547,0.009077,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5016270875930786,0.46913185715675354,0.4820101857185364,0.4952293634414673,0.49952322244644165,0.5020297169685364,0.5301113128662109,0.5347232222557068,0.5135525465011597,0.5043831467628479,0.4906601309776306,0.4575740098953247,0.4123048782348633,0.3184663653373718,0.32805073261260986,0.40252289175987244,0.24650275707244873,0.11919021606445312,0.09922134876251221,0.0,0.029776066541671753,0.0,1.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,5e7fdac7d1daf2a689587da932c4f2dcf432ab1c26d3ffc58f8ff64673b0e39b
5f9427bd-d6586026,mcts_output_1776546841.json,TinyLlama/TinyLlama-1.1B-Chat-v1.0,99,5f9427bdd712124dbd7a8d7fdca257a835a8a962,true,2026-04-18T21:14:06.061147Z,2026-04-18T21:17:32.744024Z,scripts/run_kv_mcts.py --nodes 10 --depth 3 --branches 2 --seed 99,d6586026-bf13-4e76-a472-e59162df79f5,a0bbcdae-27f3-42a3-8dd4-f9ec3c4d9e06,2,0.5,11,1,0.204866,0.952822,0.0,0.388547,0.009077,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.5016270875930786,0.46913185715675354,0.4820101857185364,0.4952293634414673,0.49952322244644165,0.5020297169685364,0.5301113128662109,0.5347232222557068,0.5135525465011597,0.5043831467628479,0.4906601309776306,0.4575740098953247,0.4123048782348633,0.3184663653373718,0.32805073261260986,0.40252289175987244,0.24650275707244873,0.11919021606445312,0.09922134876251221,0.0,0.029776066541671753,0.0,1.0]",creative_synthesis,,,run_kv_mcts,Windows-10-10.0.19045-SP0,a53ef63b4ef102671e13321c8078a252caf70dbb8e9ec37f4541713ff00c2ff3
